Year,Region,Zone,Site,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
2001,Palm,NTR 1987,OE3,,,,,15.3,3.9,,,,,,,,,9.3,3.9,12.2,0.7,76,7.3,25.6,4.7,0,0
2001,Palm,NTR 1987,OE4,,,,,16,5.4,,,,,,,,,8,4.2,11.6,0.6,86.4,1,40.8,3.4,3.2,1.5
2001,Palm,NTR 1987,OE5,,,,,19.3,4.4,,,,,,,,,7.3,1.9,12.3,1.7,60,6.1,31.2,7.1,0,0
2001,Palm,NTR 1987,OE6,,,,,13.3,2.4,,,,,,,,,5.3,1.7,10,1,68.8,0.8,44.8,4.6,18.4,2.7
2001,Palm,NTR 1987,OS1,,,,,12,4.5,,,,,,,,,2.7,1.9,15.7,1,48,7,44.8,6.1,1.6,1
2001,Palm,NTR 1987,OS2,,,,,13.3,2.8,,,,,,,,,6,1.9,5.8,0.3,41.6,5.5,30.4,3.2,0,0
2001,Palm,NTR 1987,OS3,,,,,8.7,1.3,,,,,,,,,5.3,1.3,11.4,0.7,48,7.4,24.8,2,0,0
2001,Palm,NTR 1987,OS4,,,,,8.7,2.3,,,,,,,,,5.3,2.5,14.8,1.5,40.8,7.6,33.6,7.4,0,0
2001,Palm,NTR 1987,OS5,,,,,34.7,5.8,,,,,,,,,15.3,3.9,5.3,0.5,62.4,5.3,36.8,2.3,0,0
2001,Palm,NTR 1987,OS6,,,,,25.3,11.2,,,,,,,,,4,2.7,8.4,1.5,64,7,4.8,0.8,0.8,0.8
2001,Whitsunday,Fished,HB1,,,,,12.7,3.7,,,,,,,,,2.7,1.9,11.4,0.8,32.8,5.3,16.8,2.3,42.4,11.2
2001,Whitsunday,Fished,HB2,,,,,8,2.7,,,,,,,,,2.7,1.2,10.3,0.1,46.4,6.3,36.8,5.1,41.6,6.4
2001,Whitsunday,Fished,HB3,,,,,4.7,2.3,,,,,,,,,0,0,9.8,0.7,63.2,4.3,33.6,5.3,17.6,5.7
