Family,Species,Functional Group,Functional group detail,Fishery Status
,Pomacentrus brachialis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus chrysurus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomacentrus coelestis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus grammorhynchus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomacentrus lepidogenis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Pomacentrus moluccensis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus nagasakiensis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus pavo,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus philippinus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Pomacentrus tripunctatus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomacentrus vaiuli,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomacentrus wardi,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomachromis richardsoni,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Premnas biaculeatus,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Stegastes apicalis,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Stegastes fasciolatus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Stegastes gascoynei,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Stegastes nigricans,Territorial pomacentrid,Territorial pomacentrid,Non-target
,,,,
Scaridae,Bolbometapon muricatum,Grazer,Excavating scarid,Non-target
,Calotomus carolinus,Grazer,Scraping scarid,Non-target
,Cetoscarus bicolor,Grazer,Excavating scarid,Non-target
,Chlorurus bleekeri,Grazer,Excavating scarid,Non-target
,Chlorurus japanensis,Grazer,Excavating scarid,Non-target
,Chlorurus microrhinus,Grazer,Excavating scarid,Non-target
,Chlorurus sordidus,Grazer,Excavating scarid,Non-target
,Hipposcarus longiceps,Grazer,Scraping scarid,Non-target
,Scarus altipinnis,Grazer,Scraping scarid,Non-target
,Scarus chamaeleon,Grazer,Scraping scarid,Non-target
,Scarus dimidiatus,Grazer,Scraping scarid,Non-target
,Scarus flavipectoralis,Grazer,Scraping scarid,Non-target
,Scarus forsteni,Grazer,Scraping scarid,Non-target
,Scarus frenatus,Grazer,Scraping scarid,Non-target
,Scarus ghobban,Grazer,Scraping scarid,Non-target
,Scarus globiceps,Grazer,Scraping scarid,Non-target
,Scarus niger,Grazer,Scraping scarid,Non-target
,Scarus oviceps,Grazer,Scraping scarid,Non-target
,Scarus psittacus,Grazer,Scraping scarid,Non-target
,Scarus rivulatus,Grazer,Scraping scarid,Non-target
,Scarus rubroviolaceus,Grazer,Scraping scarid,Non-target
,Scarus schlegeli,Grazer,Scraping scarid,Non-target
,Scarus spinus,Grazer,Scraping scarid,Non-target
,Scarus tricolor,Grazer,Scraping scarid,Non-target
,,,,
Serranidae,Aethaloperca rogga,Predator,Intermediate predator,Secondary target
,Anyperodon leucogrammicus,Predator,Large predator,Secondary target
,Cephalopholis boenak,Predator,Intermediate predator,Non-target
,Cephalopholis cyanostigma,Predator,Intermediate predator,Secondary target
,Cephalopholis microprion,Predator,Intermediate predator,Non-target
,Cromileptes altivelis,Predator,Large predator,Protected
,Diploprion bifasciatus,Predator,Intermediate predator,Non-target
,Epinephelus caerulopunctatus,Predator,Large predator,Secondary target
,Epinephelus fasciatus,Predator,Intermediate predator,Secondary target
,Epinephelus fuscoguttatus,Predator,Large predator,Secondary target
,Epinephelus lanceolatus,Predator,Large predator,Protected
,Epinephelus merra,Predator,Intermediate predator,Secondary target
,Epinephelus ongus,Predator,Intermediate predator,Secondary target
,Epinephelus quoyanus,Predator,Intermediate predator,Secondary target
,Plectropomus areolatus,Predator,Large predator,Primary target
,Plectropomus laevis,Predator,Large predator,Primary target
,Plectropomus leopardus,Predator,Large predator,Primary target
,Plectropomus maculatus,Predator,Large predator,Primary target
,Variola albimarginata,Predator,Large predator,Secondary target
,Variola louti,Predator,Large predator,Secondary target
,,,,
Siganidae,Siganus argenteus,Grazer,Algal cropper,Non-target
,Siganus corallinus,Grazer,Algal cropper,Non-target
,Siganus doliatus,Grazer,Algal cropper,Non-target
,Siganus fuscescens,Grazer,Algal cropper,Non-target
,Siganus javus,Grazer,Algal cropper,Non-target
,Siganus lineatus,Grazer,Algal cropper,Non-target
,Siganus puellus,Grazer,Algal cropper,Non-target
,Siganus punctatissimus,Grazer,Algal cropper,Non-target
,Siganus punctatus,Grazer,Algal cropper,Non-target
,Siganus spinus,Grazer,Algal cropper,Non-target
,Siganus vulpinus,Grazer,Algal cropper,Non-target
,,,,
Zanclidae,Zanclus cornutus,Benthic carnivore,Benthic carnivore,Non-target
